Sn,Country,Total Case,New Case,Total Death,Total Recovered,New Covered ,Acctive Case
110,Jamaica,"49,795",,"1,042 ",,"29,130",
111,Ivory Coast,"48,058",,309 ,,"47,511",
112,Cambodia,"44,711",,475 ,,"39,314",
113,Zimbabwe,"43,480",,"1,692 ",,"37,477",
114,Senegal,"42,590",,"1,159 ",,"41,022",
115,Madagascar,"42,161",,905 ,,"40,500",
116,DRC,"38,553",,891 ,,"27,969",
117,Angola,"38,002",,878 ,,"32,322",
118,Sudan,"36,558",,"2,750 ",,"30,404",
119,Malawi,"35,115",,"1,177 ",,"32,948",
120,Rwanda,"33,260",,397 ,,"26,734",
121,Cabo Verde,"32,192",,284 ,,"31,202",
122,Trinidad and Tobago,"31,207",,768 ,,"22,630",
123,Malta,"30,595",,420 ,,"30,149",
124,Australia,"30,404",+26,910 ,,"29,307",
125,Réunion,"29,502",,226 ,,"27,585",
126,French Guiana,"26,799",,142 ,,"9,995",
127,Syria,"25,248",,"1,855 ",,"21,766",
128,Gabon,"24,958",,159 ,,"24,509",
129,Guinea,"23,579",,168 ,,"22,360",
130,Suriname,"20,549",,482 ,,"15,731",
131,Mauritania,"20,473",,483 ,,"19,514",
132,Mayotte,"19,389",,174 ,,"2,964",
133,Guyana,"19,234",,452 ,,"17,241",
134,French Polynesia,"18,991",,142 ,,"18,820",
135,Eswatini,"18,898",,677 ,,"18,050",
136,Haiti,"17,902",,398 ,,"12,763",
137,Papua New Guinea,"17,079",,173 ,,"16,480",
138,Guadeloupe,"16,881",,230 ,,"2,250",
139,Somalia,"14,868",,775 ,,"7,216",
140,Seychelles,"14,620",,59 ,,"13,323",
141,Mali,"14,391",,525 ,,"10,041",
142,Taiwan,"14,260",,599 ,,"10,133",
143,Vietnam,"13,989",+42,70 ,,"5,684",
144,Andorra,"13,873",,127 ,,"13,688",
145,Togo,"13,749",,128 ,,"13,379",
146,Burkina Faso,"13,473",,168 ,,"13,295",
147,Tajikistan,"13,358",,90 ,,"13,218",
148,Belize,"13,083",,329 ,,"12,585",
149,Bahamas,"12,407",,244 ,,"11,393",
150,Congo,"12,404",,164 ,,"11,211",
151,Curaçao,"12,322",,125 ,,"12,165",
152,Martinique,"12,264",,98 ,,98,
153,Hong Kong,"11,899",,210 ,,"11,619",
154,Djibouti,"11,597",,155 ,,"11,436",
155,Lesotho,"11,168",,329 ,,"6,445",
156,Aruba,"11,118",,107 ,,"10,980",
157,South Sudan,"10,786",,115 ,,"10,514",
158,Timor-Leste,"8,843",,19 ,,"7,838",
159,Equatorial Guinea,"8,708",,120 ,,"8,489",
160,Benin,"8,170",,104 ,,"8,000",
161,Nicaragua,"7,920",,189 ,,"4,225",
162,CAR,"7,139",,98 ,,"6,859",
163,Yemen,"6,898",,"1,355 ",,"3,990",
164,Iceland,"6,630",,30 ,,"6,576",
165,Gambia,"6,045",,181 ,,"5,837",
166,Eritrea,"5,603",,21 ,,"5,078",
167,Niger,"5,472",,193 ,,"5,199",
168,Burundi,"5,300",,8 ,,773,
169,Saint Lucia,"5,238",,84 ,,"5,084",
170,San Marino,"5,090",,90 ,,"5,000",
171,Sierra Leone,"4,963",,84 ,,"3,279",
